filepaths,users,genders,words,f0_prob,f0_mean,f0_std
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F001_001.wav,F001,F,academia,"[[195.75653315]
 [193.76778786]
 [191.68955124]
 [189.21454822]
 [186.14361754]
 [186.00193199]
 [185.726677  ]
 [184.65584446]
 [182.65649573]
 [180.4982861 ]
 [178.68822174]
 [177.64914724]
 [177.48585724]
 [177.25533883]
 [176.39493627]
 [175.2647552 ]
 [174.40166634]
 [173.27549992]
 [172.78428376]
 [172.96708826]
 [173.62141971]
 [175.25415092]
 [177.46262968]
 [179.68344763]
 [181.98527516]
 [183.95151886]
 [185.85245485]
 [207.45781592]
 [220.57664277]
 [223.23202926]
 [226.57823916]
 [229.40788403]
 [231.72342266]
 [233.58240784]
 [234.98275199]
 [236.06714884]
 [237.40774513]
 [239.19658247]
 [241.32459173]
 [243.96784388]
 [246.09666849]
 [248.52929095]
 [251.17676255]
 [254.03235165]
 [257.34379857]
 [258.8088729 ]
 [260.04833735]
 [260.91676166]
 [261.41868939]
 [263.25287453]]",209.14,32.33
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F001_002.wav,F001,F,academia,"[[190.42561953]
 [187.67525131]
 [185.68492051]
 [183.34536068]
 [180.71178914]
 [179.20300903]
 [179.51822137]
 [178.97930706]
 [177.63367893]
 [175.54228701]
 [174.14668694]
 [173.60896685]
 [173.65925632]
 [173.82766814]
 [173.62602408]
 [172.58404229]
 [170.87771825]
 [170.22159312]
 [171.29731069]
 [172.08517028]
 [173.07359009]
 [173.83244404]
 [174.43025638]
 [175.71571989]
 [177.51744723]
 [179.59540902]
 [181.46825797]
 [183.42112283]
 [185.27544757]
 [196.29782292]
 [198.80005529]
 [206.46900482]
 [208.1264849 ]
 [218.3947994 ]
 [220.18950323]
 [221.41051588]
 [222.53729241]
 [224.00458433]
 [226.22302236]
 [229.19272863]
 [231.97471788]
 [235.39451951]
 [239.04221686]
 [242.00885105]
 [244.61774034]
 [246.7540987 ]
 [249.05815235]]",195.95,25.58
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F001_003.wav,F001,F,academia,"[[180.80097183]
 [179.70492901]
 [177.91095069]
 [176.03943327]
 [174.62326066]
 [174.15424233]
 [169.96307783]
 [167.98484845]
 [167.61054382]
 [167.87100237]
 [168.60379569]
 [169.08942517]
 [168.81280735]
 [168.46594367]
 [168.82759403]
 [169.63226929]
 [170.30976724]
 [171.14786092]
 [172.24759536]
 [173.22764855]
 [173.8645908 ]
 [174.8849534 ]
 [176.93978769]
 [178.95041762]
 [181.84458954]
 [184.08986809]
 [186.06206889]
 [192.3682784 ]
 [194.54082072]
 [195.99959024]
 [197.52295709]
 [206.04567397]
 [208.03365392]
 [210.15697302]
 [215.70800992]
 [218.72097274]
 [220.55044449]
 [221.44610273]
 [221.81574154]
 [221.71565017]
 [221.63981209]
 [221.37600623]
 [221.15978619]
 [221.2450706 ]
 [222.00510347]
 [224.32640858]
 [228.27674965]
 [232.16685599]
 [235.46977612]
 [237.81340948]
 [239.52260176]]",194.57,24.03
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F001_004.wav,F001,F,academia,"[[170.59306849]
 [169.76244349]
 [183.70725276]
 [181.3244401 ]
 [178.99338416]
 [176.6295871 ]
 [173.06050928]
 [173.70053012]
 [173.87420416]
 [174.06894285]
 [174.02942648]
 [173.828276  ]
 [173.73393233]
 [173.72483052]
 [173.61423445]
 [173.06870524]
 [172.61461757]
 [171.51219266]
 [170.41661004]
 [170.52133542]
 [171.21684309]
 [172.05356745]
 [172.73012505]
 [173.63227215]
 [174.71657078]
 [175.71282262]
 [177.40209321]
 [179.21430677]
 [181.00306469]
 [182.73025373]
 [184.05621358]
 [185.60637489]
 [194.92032783]
 [196.5773118 ]
 [198.09412921]
 [206.53920858]
 [208.18263221]
 [224.95607179]
 [226.35440998]
 [226.94359173]
 [227.71718582]
 [229.02808738]
 [230.46052197]
 [232.25620754]
 [233.56572898]
 [235.03512629]
 [236.96240563]
 [239.11520512]
 [241.14155593]
 [244.35817547]
 [246.33583961]
 [247.9269386 ]
 [248.89128467]]",196.0,27.69
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F001_005.wav,F001,F,academia,"[[177.71912235]
 [176.00785698]
 [174.36393923]
 [172.65987509]
 [180.64774599]
 [180.25519592]
 [179.03235863]
 [177.22520858]
 [174.83903535]
 [172.8222714 ]
 [171.87533081]
 [171.43626963]
 [171.08059014]
 [170.18401673]
 [169.97473358]
 [169.63069685]
 [169.3369714 ]
 [170.26976436]
 [171.49411403]
 [172.55814399]
 [173.36455449]
 [173.77493941]
 [174.44555186]
 [175.39738989]
 [177.24467231]
 [178.94917109]
 [180.81997195]
 [182.52053702]
 [183.73138812]
 [184.97518248]
 [186.04080736]
 [195.7946207 ]
 [197.16977592]
 [199.12151466]
 [205.13845791]
 [207.69047834]
 [209.52030681]
 [221.68197169]
 [223.41320115]
 [224.45383564]
 [224.89890679]
 [225.35820425]
 [225.85391786]
 [226.50888508]
 [227.630638  ]
 [228.95827349]
 [229.99708577]
 [231.6018492 ]
 [232.68849793]
 [233.540527  ]
 [234.56430585]
 [235.54699386]
 [236.08238495]
 [236.76784693]]",195.53,24.82
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F001_006.wav,F001,F,academia,"[[179.79210774]
 [179.21704899]
 [178.07241546]
 [177.1083673 ]
 [175.60778258]
 [173.57960228]
 [174.16265611]
 [175.04529596]
 [175.71903522]
 [175.54062528]
 [175.59707533]
 [175.7304726 ]
 [175.79452351]
 [175.79193068]
 [175.70618784]
 [175.28758486]
 [174.89239134]
 [174.54549654]
 [175.0156673 ]
 [176.61695727]
 [177.96125389]
 [179.53648273]
 [181.02965795]
 [182.22640456]
 [183.57323062]
 [184.16860548]
 [184.91565636]
 [185.4532597 ]
 [186.19988768]
 [192.97745835]
 [194.3674593 ]
 [195.51015923]
 [196.61323676]
 [198.02416737]
 [205.41565588]
 [206.85266847]
 [208.17720346]
 [211.08912524]
 [226.80288024]
 [229.16029734]
 [230.79686054]
 [231.84688552]
 [232.37168525]
 [232.43379434]
 [232.75441862]
 [233.27632198]
 [233.53410144]
 [234.05223411]
 [234.90217513]
 [235.68432901]
 [236.09510599]
 [236.54495944]
 [236.98396711]
 [237.19219451]]",198.28,24.55
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F001_007.wav,F001,F,academia,"[[174.82499783]
 [186.45496801]
 [183.59801917]
 [180.69105987]
 [187.09228559]
 [186.81220547]
 [185.59230103]
 [183.83804989]
 [182.34483894]
 [181.36124395]
 [180.35251646]
 [178.8292128 ]
 [177.26901862]
 [175.26874798]
 [173.90549874]
 [173.32258079]
 [173.31298328]
 [173.47489979]
 [173.73397259]
 [174.00746609]
 [173.99107692]
 [173.95390127]
 [173.98503411]
 [173.79627168]
 [174.5806671 ]
 [175.63212233]
 [176.50441847]
 [176.8664527 ]
 [177.38417112]
 [178.93319001]
 [180.97900929]
 [183.33364504]
 [185.60714769]
 [192.29298278]
 [195.4191532 ]
 [196.96330164]
 [199.37625901]
 [220.28227959]
 [221.52660193]
 [222.51958071]
 [223.5184964 ]
 [224.80621421]
 [226.05459752]
 [227.40894555]
 [228.7898926 ]
 [230.96973741]
 [232.67783665]
 [234.19541259]
 [235.67492947]
 [237.07384636]]",192.82,21.95
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F001_008.wav,F001,F,academia,"[[182.01859272]
 [180.11937034]
 [178.82758511]
 [177.39699014]
 [175.88928966]
 [179.941845  ]
 [180.30240602]
 [179.76729633]
 [178.21449849]
 [176.53264911]
 [174.65260433]
 [173.11705766]
 [172.73377742]
 [173.61627021]
 [173.68058156]
 [173.55360331]
 [172.9294667 ]
 [172.73568065]
 [172.47228825]
 [169.83018478]
 [167.65681977]
 [165.98553017]
 [165.23082519]
 [164.90320035]
 [165.12181632]
 [165.3711062 ]
 [165.98756661]
 [177.69622023]
 [180.27980915]
 [182.32136999]
 [183.6558967 ]
 [185.46153143]
 [194.9038503 ]
 [196.92216787]
 [205.67581085]
 [208.61263159]
 [218.07931554]
 [220.78454853]
 [222.24325419]
 [223.42554455]
 [224.707198  ]
 [226.27188925]
 [227.80919972]
 [229.78425032]
 [231.78280631]
 [234.1149137 ]
 [236.59060023]
 [238.64720251]]",190.17,23.72
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F001_009.wav,F001,F,academia,"[[185.70868911]
 [183.56017654]
 [181.29054541]
 [179.0201973 ]
 [176.96872932]
 [179.07855887]
 [179.41331675]
 [178.98848194]
 [178.01804249]
 [176.68697537]
 [175.46931617]
 [174.56152344]
 [174.19903171]
 [173.98285465]
 [174.42082741]
 [174.12500941]
 [173.91745271]
 [173.13746228]
 [173.08050294]
 [173.30328643]
 [173.80211503]
 [174.59581247]
 [175.39038005]
 [176.58025215]
 [177.86000147]
 [178.57562071]
 [179.63703991]
 [180.55243396]
 [181.52649174]
 [182.66777911]
 [183.85565108]
 [185.24110484]
 [196.7162875 ]
 [199.18959437]
 [206.06661352]
 [208.08856845]
 [209.60549963]
 [233.20682329]
 [235.06741562]
 [236.24822205]
 [236.89982294]
 [237.1674366 ]
 [237.27243695]
 [237.98973103]
 [238.98152504]
 [240.36127968]
 [241.24669898]
 [242.7399118 ]
 [243.93397967]
 [244.86833053]
 [244.60384538]
 [244.47621788]
 [244.88525176]]",199.03,28.22
/home/jovyan/work/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F001_010.wav,F001,F,academia,"[[183.58125824]
 [181.22698971]
 [178.98616431]
 [178.03931603]
 [176.91284147]
 [167.43445487]
 [180.43713849]
 [181.45253493]
 [181.49782135]
 [180.65510698]
 [179.00652005]
 [177.62663864]
 [176.93978499]
 [177.11696539]
 [177.00357403]
 [176.14780577]
 [175.09941792]
 [174.74391263]
 [174.7117968 ]
 [174.49479253]
 [174.76252288]
 [175.72744173]
 [177.27656245]
 [178.37990445]
 [179.99489525]
 [181.33885748]
 [182.99768135]
 [185.24008643]
 [218.6862226 ]
 [221.60038144]
 [227.79990027]
 [229.659789  ]
 [232.5065329 ]
 [234.79603272]
 [247.02653512]
 [249.8663379 ]
 [252.08026166]
 [254.78908421]
 [257.39130092]
 [260.68188407]
 [263.57267964]
 [265.35771559]
 [266.54857585]
 [268.42713277]
 [271.06032053]
 [273.77161158]
 [276.39406805]
 [277.8718476 ]]",209.14,38.63
