filepaths,users,genders,words,f0_prob,f0_std,f0_mean
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F001_001.wav,F001,F,academia,"[[183.7917368 ]
 [181.68070865]
 [180.63430477]
 [176.50861155]
 [175.49199675]
 [175.49199675]
 [178.55954282]
 [185.92729391]
 [232.90450925]
 [236.97560837]
 [239.7291323 ]
 [243.91952372]
 [251.06691133]
 [256.9353222 ]
 [261.42647252]
 [264.46410181]]",214.09,35.3
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F001_002.wav,F001,F,academia,"[[175.49199675]
 [173.47629925]
 [171.48375401]
 [171.48375401]
 [172.47714929]
 [174.48123723]
 [179.59392773]
 [187.00435977]
 [194.72056219]
 [218.56644108]
 [222.38691517]
 [227.58496291]
 [234.25371135]
 [241.11786904]
 [248.18316189]
 [253.98416831]
 [259.92076683]]",206.25,32.16
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F001_003.wav,F001,F,academia,"[[170.49608026]
 [169.5140951 ]
 [168.53776575]
 [169.5140951 ]
 [171.48375401]
 [175.49199675]
 [179.59392773]
 [194.72056219]
 [218.56644108]
 [219.83258359]
 [222.38691517]
 [224.97092666]
 [228.90334919]
 [234.25371135]
 [239.7291323 ]
 [241.11786904]
 [235.6107293 ]]",203.81,28.43
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F001_004.wav,F001,F,academia,"[[173.47629925]
 [173.47629925]
 [173.47629925]
 [172.47714929]
 [172.47714929]
 [172.47714929]
 [175.49199675]
 [179.59392773]
 [185.92729391]
 [192.48400577]
 [199.27193958]
 [207.49432874]
 [217.30759101]
 [222.38691517]
 [226.27416998]
 [230.2293728 ]
 [234.25371135]
 [239.7291323 ]
 [242.51465064]
 [246.75373207]
 [251.06691133]]",204.22,28.53
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F001_005.wav,F001,F,academia,"[[175.49199675]
 [171.48375401]
 [170.49608026]
 [171.48375401]
 [172.47714929]
 [175.49199675]
 [179.59392773]
 [184.8564315 ]
 [191.37537948]
 [198.12421766]
 [219.83258359]
 [222.38691517]
 [224.97092666]
 [226.27416998]
 [228.90334919]
 [231.56307799]
 [234.25371135]
 [236.97560837]]",200.89,25.54
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F001_006.wav,F001,F,academia,"[[175.49199675]
 [175.49199675]
 [175.49199675]
 [177.53111553]
 [179.59392773]
 [182.73317429]
 [185.92729391]
 [190.2731384 ]
 [194.72056219]
 [200.42631018]
 [206.29924935]
 [217.30759101]
 [226.27416998]
 [230.2293728 ]
 [231.56307799]
 [234.25371135]
 [235.6107293 ]
 [236.97560837]
 [236.97560837]
 [238.3483941 ]
 [235.6107293 ]]",207.96,24.75
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F001_007.wav,F001,F,academia,"[[184.8564315 ]
 [182.73317429]
 [180.63430477]
 [176.50861155]
 [174.48123723]
 [173.47629925]
 [174.48123723]
 [175.49199675]
 [178.55954282]
 [184.8564315 ]
 [191.37537948]
 [219.83258359]
 [222.38691517]
 [224.97092666]
 [228.90334919]
 [232.90450925]
 [236.97560837]
 [241.11786904]
 [238.3483941 ]]",201.2,25.92
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F001_008.wav,F001,F,academia,"[[177.53111553]
 [176.50861155]
 [175.49199675]
 [172.47714929]
 [172.47714929]
 [170.49608026]
 [169.5140951 ]
 [167.56705965]
 [167.56705965]
 [185.92729391]
 [192.48400577]
 [221.10606079]
 [223.67518947]
 [227.58496291]
 [231.56307799]
 [236.97560837]
 [242.51465064]
 [249.62087232]]",197.84,29.48
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F001_009.wav,F001,F,academia,"[[176.50861155]
 [176.50861155]
 [174.48123723]
 [174.48123723]
 [175.49199675]
 [176.50861155]
 [179.59392773]
 [184.8564315 ]
 [209.90529671]
 [232.90450925]
 [235.6107293 ]
 [238.3483941 ]
 [239.7291323 ]
 [241.11786904]
 [243.91952372]
 [245.33253515]
 [246.75373207]
 [243.91952372]]",210.89,31.05
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F001_010.wav,F001,F,academia,"[[179.59392773]
 [179.59392773]
 [178.55954282]
 [177.53111553]
 [175.49199675]
 [176.50861155]
 [179.59392773]
 [253.98416831]
 [258.42373338]
 [261.42647252]
 [265.99612677]
 [270.64565716]
 [276.97169952]
 [280.18995565]]",222.47,44.8
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F002_001.wav,F002,F,academia,"[[249.62087232]
 [285.0875898 ]
 [288.40014804]
 [283.44560611]
 [272.2134915 ]
 [187.00435977]
 [188.08766501]
 [190.2731384 ]]",243.02,43.73
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F002_002.wav,F002,F,academia,"[[245.33253515]
 [264.46410181]
 [264.46410181]
 [264.46410181]
 [262.94090067]
 [259.92076683]
 [256.9353222 ]
 [253.98416831]
 [249.62087232]
 [246.75373207]
 [238.3483941 ]
 [199.27193958]
 [214.81160044]
 [221.10606079]
 [227.58496291]]",244.67,19.74
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F002_003.wav,F002,F,academia,"[[252.52132715]
 [276.97169952]
 [275.37645992]
 [273.79040822]
 [261.42647252]
 [249.62087232]
 [187.00435977]
 [193.59905428]
 [196.98310614]
 [200.42631018]
 [223.67518947]]",235.58,34.24
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F002_004.wav,F002,F,academia,"[[239.7291323 ]
 [239.7291323 ]
 [239.7291323 ]
 [264.46410181]
 [264.46410181]
 [265.99612677]
 [259.92076683]
 [255.45548363]
 [249.62087232]
 [242.51465064]]",252.16,10.62
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F002_005.wav,F002,F,academia,"[[246.75373207]
 [269.08685288]
 [269.08685288]
 [267.53702665]
 [261.42647252]
 [252.52132715]
 [245.33253515]
 [227.58496291]]",254.92,13.76
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F002_006.wav,F002,F,academia,"[[255.45548363]
 [255.45548363]
 [255.45548363]
 [255.45548363]
 [278.57618025]
 [278.57618025]
 [278.57618025]
 [273.79040822]
 [265.99612677]
 [259.92076683]
 [251.06691133]
 [196.98310614]
 [216.05599139]
 [226.27416998]
 [227.58496291]]",251.68,23.77
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F002_007.wav,F002,F,academia,"[[251.06691133]
 [251.06691133]
 [252.52132715]
 [264.46410181]
 [265.99612677]
 [264.46410181]
 [259.92076683]
 [256.9353222 ]
 [251.06691133]
 [246.75373207]
 [239.7291323 ]
 [198.12421766]
 [216.05599139]
 [224.97092666]
 [228.90334919]]",244.8,19.07
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F002_008.wav,F002,F,academia,"[[246.75373207]
 [265.99612677]
 [265.99612677]
 [265.99612677]
 [261.42647252]
 [253.98416831]
 [249.62087232]
 [241.11786904]]",256.36,9.22
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F002_009.wav,F002,F,academia,"[[256.9353222 ]
 [256.9353222 ]
 [256.9353222 ]
 [273.79040822]
 [272.2134915 ]
 [270.64565716]
 [262.94090067]
 [258.42373338]
 [253.98416831]
 [249.62087232]
 [199.27193958]
 [224.97092666]
 [223.67518947]]",250.8,21.07
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F002_010.wav,F002,F,academia,"[[251.06691133]
 [251.06691133]
 [251.06691133]
 [251.06691133]
 [275.37645992]
 [273.79040822]
 [272.2134915 ]
 [267.53702665]
 [258.42373338]
 [252.52132715]
 [194.72056219]
 [199.27193958]
 [222.38691517]
 [230.2293728 ]]",246.48,24.93
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F003_001.wav,F003,F,academia,"[[246.75373207]
 [241.11786904]
 [234.25371135]
 [230.2293728 ]
 [224.97092666]
 [224.97092666]
 [228.90334919]
 [309.09962526]
 [323.7182209 ]]",251.56,35.48
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F003_002.wav,F003,F,academia,"[[231.56307799]
 [231.56307799]
 [228.90334919]
 [223.67518947]
 [219.83258359]
 [217.30759101]
 [217.30759101]
 [218.56644108]
 [223.67518947]
 [293.44129383]
 [302.03978006]]",237.08,29.09
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F003_003.wav,F003,F,academia,"[[227.58496291]
 [241.11786904]
 [239.7291323 ]
 [236.97560837]
 [230.2293728 ]
 [223.67518947]
 [219.83258359]
 [214.81160044]
 [212.34427877]
 [211.12126572]
 [216.05599139]
 [305.54931325]
 [318.15693562]]",238.24,32.94
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F003_004.wav,F003,F,academia,"[[228.90334919]
 [227.58496291]
 [226.27416998]
 [219.83258359]
 [213.57437667]
 [211.12126572]
 [208.69633116]
 [208.69633116]
 [208.69633116]
 [211.12126572]
 [219.83258359]
 [291.75119634]
 [300.30015893]]",228.95,29.5
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F003_005.wav,F003,F,academia,"[[234.25371135]
 [232.90450925]
 [227.58496291]
 [219.83258359]
 [216.05599139]
 [212.34427877]
 [209.90529671]
 [209.90529671]
 [212.34427877]
 [273.79040822]
 [290.0708331 ]
 [303.7894787 ]]",236.9,31.83
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F003_006.wav,F003,F,academia,"[[230.2293728 ]
 [228.90334919]
 [224.97092666]
 [217.30759101]
 [214.81160044]
 [211.12126572]
 [208.69633116]
 [209.90529671]
 [212.34427877]
 [283.44560611]
 [300.30015893]
 [312.6911899 ]]",237.89,36.32
/mnt/c/Users/ferre/OneDrive/Documentos/Doutorado/dataset/GPS_cmd_16k_renamed/academia_F003_007.wav,F003,F,academia,"[[226.27416998]
 [224.97092666]
 [223.67518947]
 [218.56644108]
 [211.12126572]
 [208.69633116]
 [208.69633116]
 [209.90529671]
 [212.34427877]
 [217.30759101]
 [303.7894787 ]
 [314.50259153]
 [321.85374114]]",238.59,41.52
